description,category,type
Balance From Last Statement,Balance,CR
Balance C/F,Balance,CR 
Balance B/F,Balance,CR
Balance,Balance,CR
Last Statement,Balance,CR
HONG LEONG BANK ATM CASH WITHDRAWAL,Withdrawal,DR
AMBANK ATM WITHDRAWAL FEE,Bank Fees,DR
ATM/E-DR FEE 614526,Bank Fees,DR
ATM WITHDRAWAL FEE,Bank Fees,DR
E-WALLET CASHBACK CREDIT - BOOST,Cashback,CR
SHOPEE CASHBACK REWARD,Cashback,CR
PETRONAS MESRA REWARDS REDEMPTION,Cashback,CR
PAHLAWAN VOLKSWAGEN SERVICE CENTER,Travel Expenses,DR
MAYBANK ISLAMIC BAITUMAL CONTRIBUTION,Other Fees,DR
ZAKAT PAYMENT - LEMBAGA ZAKAT SELANGOR,Other Fees,DR
HONG LEONG BANK CHEQUE DEPOSIT,Deposit,CR
RHB BANK CHEQUE DEPOSIT,Deposit,CR
EDUCATION FEES - HELP EDUCATION CENTRE,Education,DR
KIDSWORLD TUITION CENTER PAYMENT,Education,DR
EDUCATION FEES - XYZ INTERNATIONAL SCHOOL,Education,DR
ENTERTAINMENT - ARCADE GAME TOKENS - TIMEZONE,Entertainment,DR
ENTERTAINMENT - CINEMA TICKET,Entertainment,DR
ENTERTAINMENT - DVD RENTAL PAYMENT - LOCAL KIOSK,Entertainment,DR
ENTERTAINMENT - E-SPORTS EVENT ENTRY FEE,Entertainment,DR
ENTERTAINMENT - GAME PURCHASE - STEAM STORE,Entertainment,DR
ENTERTAINMENT - GSC CINEMA TICKET - MOVIE NIGHT,Entertainment,DR
ENTERTAINMENT - LIVE CONCERT TICKET - K-POP NIGHT,Entertainment,DR
ENTERTAINMENT - LIVE THEATER SHOW TICKET,Entertainment,DR
ENTERTAINMENT - MUSIC FESTIVAL TICKET - ULTRA MALAYSIA,Entertainment,DR
ENTERTAINMENT - ONLINE STREAMING PAYMENT - DISNEY+,Entertainment,DR
ENTERTAINMENT - SPORTS EVENT TICKET - PREMIER LEAGUE,Entertainment,DR
ENTERTAINMENT - SUBSCRIPTION PAYMENT - SPOTIFY,Entertainment,DR
ENTERTAINMENT - THEME PARK ENTRY - SUNWAY LEGOLAND,Entertainment,DR
CAFE PAYMENT - COFFEE BEAN, PETALING JAYA,Food,DR
CAFE PAYMENT - STARBUCKS PETALING JAYA,Food,DR
CIMB CLICK PAY - QSR ORDER 78910,Food,DR
DINNER PAYMENT - MCDONALD'S OUTLET,Food,DR
FOOD DELIVERY - DELIVEROO ORDER 7890,Food,DR
FOOD DELIVERY - FOODPANDA ORDER 2345,Food,DR
FOOD DELIVERY - GRABFOOD, ORDER 12345,Food,DR
FOOD DELIVERY - GRABFOOD ORDER 5678,Food,DR
FOOD ORDER - KFC TAKEAWAY, KL,Food,DR
GRABFOOD EXPRESS DELIVERY PAYMENT,Food,DR
HAWKER CENTRE PAYMENT - JALAN ALOR,Food,DR
RHB INTERNET BANKING PAYMENT - STARBUCKS,Food,DR
RESTAURANT BILL PAYMENT - NANDO'S,Food,DR
RESTAURANT BILL - SUBWAY, KL,Food,DR
SNACK PURCHASE - 7-ELEVEN FOOD CORNER,Food,DR
UOB MOBILE PAYMENT - LUCKY CHOW,Food,DR
KFC DRIVE-THRU PAYMENT,Food,DR
OLDTOWN WHITE COFFEE PURCHASE,Food,DR
NASI KANDAR,Food,DR
RESTAURANT BILL PAYMENT - DINING,Food,DR
SECRET RECIPE CAKE PURCHASE,Food,DR
BHP GAS STATION PAYMENT - RON95,Travel Expenses,DR
BHP PETROL PAYMENT - MOBILE APP,Travel Expenses,DR
BHP PETROL PURCHASE - RON95,Travel Expenses,DR
FUEL PURCHASE 45.00 - SHELL STATION,Travel Expenses,DR
FUEL PURCHASE 60.00 - PETRONAS,Travel Expenses,DR
OCBC DIGITAL BANK TRANSACTION - GAS PURCHASE,Travel Expenses,DR
PETROL PURCHASE 50.00 - CALTEX STATION,Travel Expenses,DR
PETROL PURCHASE 50.00 - CTX,Travel Expenses,DR
PETROL PURCHASE 50.00 - PETRONAS STATION,Travel Expenses,DR
PETRONAS EXPRESS FUEL RELOAD,Travel Expenses,CR
PETRONAS FUEL PURCHASE - RON95,Travel Expenses,DR
PETRONAS FUEL TOP-UP VIA BOOST APP,Travel Expenses,DR
PETRONAS SELF-SERVICE PETROL FILLING,Travel Expenses,DR
Petron fuel,Travel Expenses,DR
PETRON fuel purchase,Travel Expenses,DR
Caltex fuel purchase,Travel Expenses,DR
SHELL FUEL CARD TRANSACTION,Travel Expenses,DR
SHELL FUEL PURCHASE - RON97,Travel Expenses,DR
SHELL SELF-SERVICE FUEL PURCHASE,Travel Expenses,DR
PETRONAS DYNAMIC DISCOUNT CREDIT,Cashback,CR
LHDN Income TAX PAYMENT,Other Fees,DR
MY CLEARING HOUSE GST PAYMENT,Other Fees,DR
ROAD TAX RENEWAL - JPJ PORTAL,Other Fees,DR
HOSPITAL BILL PAYMENT - KPJ HOSPITAL,Personal Expenses,DR
MEDICAL BILL PAYMENT - KLINIK PERKESO,Personal Expenses,DR
GARDENING SERVICES PAYMENT,Other Fees,DR
MR DIY HOME IMPROVEMENT PURCHASE,Shopping,DR
ALLIANZ INSURANCE PREMIUM PAYMENT,Insurance,DR
FAMILYGUARD INSURANCE PREMIUM,Insurance,DR
ONLINE INSURANCE PREMIUM - AXA,Insurance,DR
INSURANCE PREMIUM PAYMENT - AIA,Insurance,DR
BURSA MALAYSIA STOCK TRADING FEE,Other Fees,DR
